repo	topics	tags
langchain-ai/langchain	agent-engineering,rag,llmops	
run-llama/llama_index	agent-engineering,rag	
vllm-project/vllm	ai-infra,model-engineering	
langfuse/langfuse	llmops	
huggingface/transformers	model-engineering,multimodal-ai	
ollama/ollama	ai-infra,model-engineering	
NVIDIA/NeMo-Guardrails	ai-security,ai-security-governance	
kubernetes/kubernetes	kubernetes	
cilium/cilium	cloud-native-networking	
istio/istio	service-mesh	
envoyproxy/gateway	cloud-native-networking	
knative/serving	serverless	
karmada-io/karmada	multi-cluster-management	
rook/rook	cloud-native-storage	
kubeedge/kubeedge	edge-computing	
k3s-io/k3s	edge-computing,kubernetes	
argoproj/argo-cd	gitops	
fluxcd/flux2	gitops	
kubevela/kubevela	oam	
crossplane/crossplane	oam	
backstage/backstage	idp	
jenkinsci/jenkins	cicd	
argoproj/argo-rollouts	release-engineering	
googleapis/release-please	release-engineering	
semantic-release/semantic-release	release-engineering	
open-policy-agent/opa	policy-as-code	
kyverno/kyverno	policy-as-code,cloud-security	
prometheus/prometheus	metrics	
grafana/loki	logging	
grafana/tempo	tracing	
grafana/pyroscope	profiling	
jaegertracing/jaeger	tracing	
pyrra-dev/pyrra	slo	
nobl9/sloctl	slo	
grafana/oncall	aiops	
keephq/keep	aiops	
robusta-dev/robusta	aiops	
aquasecurity/trivy	vulnerability,supply-chain-security,cloud-security	
sigstore/cosign	supply-chain-security	
spiffe/spire	zero-trust,identity	
keycloak/keycloak	identity	
prowler-cloud/prowler	cloud-security,compliance	
google/osv-scanner	vulnerability,supply-chain-security	
golang/go	go	
python/cpython	python	
astral-sh/uv	python	
rust-lang/rust	rust	
tokio-rs/tokio	rust	
spring-projects/spring-framework	java-ecosystem	Spring
spring-projects/spring-boot	java-ecosystem	Spring
spring-projects/spring-security	java-ecosystem	Spring
spring-projects/spring-ai	java-ecosystem,agent-engineering	Spring
nodejs/node	javascript	
open-telemetry/opentelemetry-collector	opentelemetry	
facebook/react	javascript	
vuejs/core	javascript	
vitejs/vite	javascript	
vercel/next.js	javascript	
apache/kafka	streaming,message-queue	
elastic/elasticsearch	search-vector,database	
qdrant/qdrant	search-vector,rag	
milvus-io/milvus	search-vector,rag,ai-infra	
weaviate/weaviate	search-vector,rag	
apache/iceberg	lakehouse	
delta-io/delta	lakehouse	
apache/hudi	lakehouse	
apache/airflow	data-pipeline	
postgres/postgres	database	
redis/redis	cache,database	
